network,country,week,weekly_regs,dip,ppc_weekly_regs,ppc_dip,ratio_to_ppc,hourly_alert
1002,US,2025-12-29,1205,0.4045454545454545,17476,0.4482647814910025,0.9024698598892147,False
1002,US,2026-01-05,2106,0.43455497382198943,29043,0.48082822085889576,0.9037634543283479,False
1002,US,2026-01-12,2147,0.4356164383561645,25261,0.41979301423027165,1.0376933955294767,False
1002,US,2026-01-19,2386,0.4194373401534527,25699,0.4426441996111471,0.9475722047683419,False
1002,US,2026-01-26,2905,0.42561983471074377,27079,0.4272133095662507,0.9962700720697939,False
1002,US,2026-02-02,2649,0.4638009049773756,25238,0.469538729329852,0.9877798699147443,False
1002,US,2026-02-09,2391,0.4181360201511335,22847,0.46775769418661456,0.893915857179499,False
1002,US,2026-02-16,2215,0.45721925133689834,20680,0.48298955263862847,0.9466441848256469,False
1002,US,2026-02-23,2262,0.4689119170984457,20963,0.3982125124131083,1.1775418965539521,False
1002,US,2026-03-02,2518,0.45243619489559167,24685,0.4018302828618969,1.1259385222867517,False
1002,US,2026-03-09,2352,0.43176178660049624,24187,0.40206407224252844,1.0738631387587745,False
1002,US,2026-03-16,2078,0.35038363171355497,25133,0.39231881065455293,0.8931094359940773,False
1002,US,2026-03-23,1831,0.3869969040247679,25399,0.4542772861356932,0.8518957822363398,False
1002,US,2026-03-30,1676,0.3741496598639456,25378,0.414279869067103,0.9031326110691192,False
1002,US,2026-04-06,1709,0.3951890034364261,22043,0.4282926829268292,0.9227078098458698,False
1002,US,2026-04-13,1811,0.33333333333333337,20089,0.4064197530864197,0.8201701093560148,False
1002,US,2026-04-20,2911,0.32737030411449014,18956,0.39585062240663904,0.8270046466623912,False
1002,US,2026-04-27,2120,0.5126760563380283,20028,0.4251207729468599,1.2059539052496802,False
1002,US,2026-05-04,1253,0.3361702127659575,23891,0.4296410482272628,0.7824443547771465,False
1002,US,2026-05-11,1521,0.29411764705882354,22375,0.3644464245934507,0.8070257442830432,False
1002,US,2026-05-18,1540,0.3814814814814815,28045,0.3943973461113158,0.9672516441675322,False
1002,US,2026-05-25,1376,0.324561403508772,33765,0.4195007800312012,0.7736848629569463,False
1002,US,2026-06-01,1475,0.37547892720306514,33900,0.4148630240653852,0.9050672280301537,False
1002,US,2026-06-08,1654,0.3716216216216216,31195,0.3894977915916898,0.9541045665573176,False
1002,US,2026-06-15,1673,0.44444444444444436,27594,0.42881712210968853,1.0364428599722715,False
1002,US,2026-06-22,1905,0.39520958083832336,27096,0.48329979879275653,0.817731730543908,False
1002,US,2026-06-29,1410,0.5040983606557378,27603,0.39951618905842945,1.261772049447571,False
1002,US,2026-07-06,1671,0.38487972508591073,31498,0.3638973050550151,1.057660278708916,False
1002,US,2026-07-13,1936,0.503048780487805,33827,0.38039568345323743,1.3224355647811799,True
1052,US,2026-01-19,1164,0.18867924528301885,25699,0.4426441996111471,0.4262548689190309,False
1052,US,2026-01-26,1011,0.17957746478873243,27079,0.4272133095662507,0.42034613802425136,False
1052,US,2026-02-16,1198,0.2133333333333333,20680,0.48298955263862847,0.4416934738398964,False
1052,US,2026-02-23,2104,0.3779904306220096,20963,0.3982125124131083,0.9492178644298345,False
1052,US,2026-03-02,1916,0.21658986175115205,24685,0.4018302828618969,0.5390083101964487,False
1052,US,2026-03-09,3287,0.3468795355587808,24187,0.40206407224252844,0.8627469090288181,False
1052,US,2026-03-16,4173,0.3313679245283019,25133,0.39231881065455293,0.8446393992055611,False
1052,US,2026-03-23,4719,0.3638190954773869,25399,0.4542772861356932,0.80087450238204,False
1052,US,2026-03-30,3128,0.30884808013355597,25378,0.414279869067103,0.7455058842927516,False
1052,US,2026-04-06,3270,0.24714828897338403,22043,0.4282926829268292,0.5770546610426394,False
1052,US,2026-04-13,2601,0.25138632162661734,20089,0.4064197530864197,0.6185386406973271,False
1052,US,2026-04-20,2465,0.1885245901639344,18956,0.39585062240663904,0.4762518472694779,False
1052,US,2026-04-27,1319,0.3117408906882591,20028,0.4251207729468599,0.7332995951417004,False
1052,US,2026-05-04,1088,0.25462962962962965,23891,0.4296410482272628,0.5926566623004347,False
1052,US,2026-05-11,1811,0.2696969696969697,22375,0.3644464245934507,0.7400181521819663,False
1052,US,2026-05-18,2468,0.391826923076923,28045,0.3943973461113158,0.9934826563623292,False
1052,US,2026-05-25,2742,0.3442940038684719,33765,0.4195007800312012,0.820723155372594,False
1052,US,2026-06-01,2002,0.3305785123966942,33900,0.4148630240653852,0.7968377349160739,False
1052,US,2026-06-08,2453,0.3514739229024943,31195,0.3894977915916898,0.9023771905514271,False
1052,US,2026-06-15,3091,0.29173419773095627,27594,0.42881712210968853,0.6803231090579742,False
1052,US,2026-06-22,3655,0.24142011834319527,27096,0.48329979879275653,0.499524557937419,False
1052,US,2026-06-29,2547,0.20188679245283017,27603,0.39951618905842945,0.5053281893998647,False
1052,US,2026-07-06,3005,0.268370607028754,31498,0.3638973050550151,0.7374899547227504,False
1052,US,2026-07-13,3164,0.23109243697478996,33827,0.38039568345323743,0.607505413512923,False
1052,US,2026-07-20,1737,0.2358974358974359,14700,0.2780589461149151,0.8483720419480592,False
303,BR,2026-03-09,3345,0.22173274596182085,15632,0.24736091298145504,0.8963936269852159,False
303,BR,2026-03-16,17124,0.314166955316938,20831,0.24871001031991746,1.2631858078925846,False
303,BR,2026-03-23,18416,0.19155764008886692,22602,0.2661604361370717,0.7197074173346162,False
303,BR,2026-03-30,11807,0.3019508057675997,21238,0.2876300578034683,1.0497887740714376,False
303,BR,2026-04-06,11151,0.2001783325902809,18026,0.24708377518557795,0.810163809582124,False
303,BR,2026-04-13,13261,0.2461246440999684,18296,0.2637703646237393,0.9331019595437038,False
303,BR,2026-04-20,5836,0.21333333333333332,20769,0.25481386392811295,0.8372124265323257,False
303,BR,2026-04-27,12744,0.31657142857142856,23028,0.3033611646328409,1.0435463252343986,False
303,BR,2026-05-04,3939,0.19279128248113994,19211,0.2855093256814921,0.6752538888912288,False
303,ES,2026-02-23,1184,0.14642857142857146,1332,0.14571428571428569,1.0049019607843142,False
